shop_id,shop_profile,shop_id,shop_profile,shop_id,shop_profile
46,Moderate,46,Low,46,Moderate
24,Moderate,24,Moderate,24,Moderate
23,Moderate,23,Moderate,23,High
97,Moderate,97,Moderate,97,Moderate
44,Moderate,44,Moderate,44,Moderate
30,Moderate,30,Moderate,30,Moderate
38,Moderate,38,Moderate,38,Low
29,Low,29,Low,29,Low
96,Moderate,96,Moderate,96,Moderate
92,Low,92,Moderate,92,Low
81,High,81,High,81,Low
76,Low,76,Low,76,Low
80,Low,80,Moderate,80,Low
74,High,74,High,74,High
107,Low,107,Low,107,Low
108,Moderate,108,Low,108,Low
19,Low,19,Low,19,Low
2,Moderate,2,Moderate,2,Moderate
114,High,114,High,114,High
87,Moderate,87,Moderate,87,Low
50,Low,50,Low,50,Moderate
61,Moderate,61,Low,61,Low
56,High,56,High,56,High
70,Moderate,70,Low,70,Moderate
